CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
CUST1000,157.0,11,18138.19,3,2,1,321,Loyal
CUST1001,155.0,11,31621.84,3,2,3,323,Loyal
CUST1002,3.0,14,33668.52,4,4,3,443,VIP
CUST1003,429.0,6,10754.45,1,1,1,111,Low Value
CUST1004,62.0,12,24496.2,4,3,2,432,Loyal
CUST1005,65.0,17,28040.69,3,4,3,343,VIP
CUST1006,337.0,12,24058.8,1,3,2,132,Low Value
CUST1007,187.0,8,24611.14,2,1,2,212,At Risk
CUST1008,69.0,16,41827.64,3,4,4,344,VIP
CUST1009,4.0,7,10513.66,4,1,1,411,At Risk
CUST1010,99.0,22,62207.619999999995,3,4,4,344,VIP
CUST1011,7.0,14,38661.17,4,4,4,444,VIP
CUST1012,65.0,7,17634.41,3,1,1,311,At Risk
CUST1013,216.0,10,31886.86,2,2,3,223,Regular
CUST1014,185.0,7,20845.97,2,1,2,212,At Risk
CUST1015,189.0,9,23504.34,2,1,2,212,At Risk
CUST1016,6.0,15,39977.74,4,4,4,444,VIP
CUST1017,35.0,15,29509.66,4,4,3,443,VIP
CUST1018,523.0,9,14301.95,1,1,1,111,Low Value
CUST1019,93.0,16,32503.129999999997,3,4,3,343,VIP
CUST1020,334.0,7,7878.55,1,1,1,111,Low Value
CUST1021,342.0,9,25719.95,1,1,2,112,Low Value
CUST1022,37.0,13,20776.58,4,3,2,432,Loyal
CUST1023,94.0,12,20602.22,3,3,2,332,Loyal
CUST1024,424.0,12,38001.22,1,3,4,134,Low Value
CUST1025,156.0,17,25669.3,3,4,2,342,Loyal
CUST1026,155.0,7,19220.12,3,1,1,311,At Risk
CUST1027,698.0,9,27609.79,1,1,3,113,Low Value
CUST1028,311.0,7,17854.95,1,1,1,111,Low Value
CUST1029,31.0,12,28601.71,4,3,3,433,VIP
CUST1030,32.0,12,26275.52,4,3,2,432,Loyal
CUST1031,220.0,9,21151.87,2,1,2,212,At Risk
CUST1032,94.0,13,28654.03,3,3,3,333,VIP
CUST1033,484.0,11,14900.01,1,2,1,121,Low Value
CUST1034,3.0,11,34866.51,4,2,3,423,Loyal
CUST1035,64.0,14,37599.21,4,4,4,444,VIP
CUST1036,366.0,6,25313.739999999998,1,1,2,112,Low Value
CUST1037,154.0,10,29078.260000000002,3,2,3,323,Loyal
CUST1038,705.0,8,31734.95,1,1,3,113,Low Value
CUST1039,275.0,15,32757.15,2,4,3,243,Regular
CUST1040,215.0,4,8469.96,2,1,1,211,At Risk
CUST1041,96.0,11,18601.83,3,2,1,321,Loyal
CUST1042,283.0,17,30106.77,2,4,3,243,Regular
CUST1043,494.0,13,32717.89,1,3,3,133,Low Value
CUST1044,305.0,18,35726.1,2,4,4,244,Regular
CUST1045,373.0,8,21542.23,1,1,2,112,Low Value
CUST1046,398.0,6,15816.390000000001,1,1,1,111,Low Value
CUST1047,96.0,8,15555.11,3,1,1,311,At Risk
CUST1048,334.0,11,23268.31,1,2,2,122,Low Value
CUST1049,392.0,14,34733.35,1,4,3,143,Low Value
CUST1050,580.0,8,34282.08,1,1,3,113,Low Value
CUST1051,245.0,12,38309.38,2,3,4,234,Regular
CUST1052,158.0,13,24300.02,3,3,2,332,Loyal
CUST1053,245.0,12,20281.36,2,3,1,231,Regular
CUST1054,546.0,7,31231.57,1,1,3,113,Low Value
CUST1055,306.0,3,7257.66,1,1,1,111,Low Value
CUST1056,277.0,14,38133.06,2,4,4,244,Regular
CUST1057,6.0,16,36045.08,4,4,4,444,VIP
CUST1058,33.0,12,20989.45,4,3,2,432,Loyal
CUST1059,275.0,10,25232.94,2,2,2,222,Regular
CUST1060,185.0,9,26786.89,2,1,2,212,At Risk
CUST1061,214.0,7,14576.71,2,1,1,211,At Risk
CUST1062,492.0,9,22348.48,1,1,2,112,Low Value
CUST1063,127.0,15,39691.62,3,4,4,344,VIP
CUST1064,126.0,12,30212.3,3,3,3,333,VIP
CUST1065,362.0,13,30691.550000000003,1,3,3,133,Low Value
CUST1066,402.0,6,18838.21,1,1,1,111,Low Value
CUST1067,394.0,16,25624.63,1,4,2,142,Low Value
CUST1068,159.0,15,33177.29,2,4,3,243,Regular
CUST1069,220.0,12,32998.01,2,3,3,233,Regular
CUST1070,368.0,14,40645.38,1,4,4,144,Low Value
CUST1071,521.0,15,38711.12,1,4,4,144,Low Value
CUST1072,3.0,11,25369.94,4,2,2,422,Loyal
CUST1073,161.0,15,34030.61,2,4,3,243,Regular
CUST1074,1.0,9,26628.75,4,1,2,412,At Risk
CUST1075,217.0,12,24279.67,2,3,2,232,Regular
CUST1076,124.0,17,33470.17,3,4,3,343,VIP
CUST1077,4.0,14,44256.92,4,4,4,444,VIP
CUST1078,155.0,9,17899.85,3,1,1,311,At Risk
CUST1079,462.0,7,16791.440000000002,1,1,1,111,Low Value
CUST1080,424.0,11,17753.43,1,2,1,121,Low Value
CUST1081,364.0,10,19725.53,1,2,1,121,Low Value
CUST1082,159.0,8,15462.89,2,1,1,211,At Risk
CUST1083,190.0,14,33191.5,2,4,3,243,Regular
CUST1084,309.0,16,39515.81,1,4,4,144,Low Value
CUST1085,515.0,8,23284.82,1,1,2,112,Low Value
CUST1086,3.0,22,73826.98000000001,4,4,4,444,VIP
